Category: All categories

Country,breast cancer: (12/18/24 - 12/18/25)
Northern Mariana Islands,
Barbados,
Grenada,
Cook Islands,
Cayman Islands,
St. Kitts & Nevis,
Guyana,
St. Vincent & Grenadines,
St. Lucia,
Antigua & Barbuda,
Isle of Man,
United States,100
Bermuda,
Jamaica,97
Jersey,
Guernsey,
Bahamas,
Trinidad & Tobago,
United Kingdom,85
Ireland,83
Solomon Islands,
Ghana,82
Gibraltar,
U.S. Virgin Islands,
Papua New Guinea,
Australia,78
Botswana,
New Zealand,72
Fiji,
Turks & Caicos Islands,
Zimbabwe,
Canada,64
Vanuatu,
Gambia,
Dominica,
China,61
Belize,
Eswatini,
Namibia,
Nigeria,57
Sint Maarten,
Guam,
St. Helena,52
Philippines,52
Singapore,52
Malta,
Brunei,
Liberia,
Lesotho,
Zambia,
Maldives,
Mauritius,
Lebanon,
Sierra Leone,
Seychelles,
Kenya,42
South Africa,42
Ethiopia,
Bahrain,
United Arab Emirates,38
Aruba,
Pakistan,37
Bhutan,
Qatar,
Malaysia,29
Iceland,
Uganda,
Hong Kong,27
Puerto Rico,
Sri Lanka,27
Cameroon,
Rwanda,
India,25
North Macedonia,
Kuwait,
Kosovo,
Cyprus,
Macao,
Nepal,
Malawi,
Somalia,
South Sudan,
Albania,
Jordan,
South Korea,18
Tanzania,
Myanmar (Burma),
Sudan,
Oman,
Iraq,16
Andorra,
Mongolia,
Egypt,14
Saudi Arabia,14
Suriname,
Bangladesh,13
Libya,
Greece,12
Latvia,
Luxembourg,
Palestine,
Estonia,
Israel,12
Slovenia,
Argentina,11
Georgia,
Portugal,11
Switzerland,11
Montenegro,
Lithuania,
Croatia,
Finland,
Cambodia,
Tunisia,
Sweden,9
Norway,
Yemen,
Taiwan,9
Bulgaria,
Armenia,
Romania,8
Belgium,8
Denmark,
Morocco,
Serbia,
Bosnia & Herzegovina,
Netherlands,7
Thailand,7
Azerbaijan,
Congo - Brazzaville,
Afghanistan,
Laos,
Hungary,
Costa Rica,
Austria,
Spain,6
Slovakia,
Italy,6
British Virgin Islands,
Dominican Republic,
Benin,
Panama,
Vietnam,5
Togo,
Burkina Faso,
Algeria,
Senegal,
Madagascar,
Moldova,
Czechia,
Indonesia,4
Uzbekistan,
Germany,4
Ecuador,
Iran,4
Kyrgyzstan,
Mexico,4
Türkiye,4
Honduras,
Uruguay,
France,4
Côte d’Ivoire,
Poland,3
Syria,
Colombia,
Chile,
Peru,
Brazil,3
Paraguay,
Mozambique,
Angola,
Kazakhstan,
Nicaragua,
Cuba,
Haiti,
Guatemala,
Venezuela,
El Salvador,
Bolivia,
Russia,2
Ukraine,
Japan,2
Congo - Kinshasa,
Belarus,
Gabon,
Mali,
Montserrat,
Réunion,
French Polynesia,
North Korea,
Cocos (Keeling) Islands,
Palau,
Pitcairn Islands,
Heard & McDonald Islands,
Burundi,
South Georgia & South Sandwich Islands,
Central African Republic,
Svalbard & Jan Mayen,
French Guiana,
French Southern Territories,
Kiribati,
San Marino,
Caribbean Netherlands,
St. Pierre & Miquelon,
Greenland,
Equatorial Guinea,
São Tomé & Príncipe,
Guinea-Bissau,
Nauru,
Guadeloupe,
Guinea,
Antarctica,
American Samoa,
Comoros,
Bouvet Island,
Cape Verde,
Chad,
Niue,
Liechtenstein,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Micronesia,
Faroe Islands,
Norfolk Island,
Tuvalu,
Niger,
Falkland Islands (Islas Malvinas),
Curaçao,
New Caledonia,
U.S. Outlying Islands,
Mayotte,
Western Sahara,
St. Martin,
Vatican City,
Eritrea,
Monaco,
St. Barthélemy,
Åland Islands,
Christmas Island,
Anguilla,
Wallis & Futuna,
Samoa,
Djibouti,
Marshall Islands,
Martinique,
Mauritania,
British Indian Ocean Territory,
