Category: All categories

Country,leukemia: (12/18/24 - 12/18/25)
Northern Mariana Islands,
Grenada,
St. Vincent & Grenadines,
Philippines,100
Samoa,
Guernsey,
Barbados,
Cayman Islands,
United States,77
Kenya,72
Antigua & Barbuda,
Solomon Islands,
Ghana,70
Jersey,
St. Lucia,
Guyana,
U.S. Virgin Islands,
Bhutan,
Bahamas,
China,54
Australia,54
Zambia,
Canada,53
United Kingdom,52
Trinidad & Tobago,
Isle of Man,
Finland,49
Papua New Guinea,
Namibia,
Ireland,48
Jamaica,
Botswana,
New Zealand,45
Seychelles,
Singapore,43
Lebanon,
Brunei,
Fiji,
Maldives,
Ethiopia,
Malta,
Belize,
Nigeria,36
Somalia,
Guam,
Zimbabwe,
Malaysia,34
Mauritius,
South Sudan,
Kosovo,
Malawi,
Tanzania,
Slovakia,29
Sudan,
North Macedonia,
Lesotho,
Indonesia,28
St. Helena,28
Iceland,
Nepal,26
Puerto Rico,
Albania,
Rwanda,
Uganda,
Pakistan,25
Hong Kong,25
Qatar,
Sri Lanka,25
Liberia,
South Africa,23
Sierra Leone,
Eswatini,
United Arab Emirates,23
Cyprus,
India,22
Dominica,
Bahrain,
Macao,
Myanmar (Burma),
Palestine,
Jordan,
Mongolia,
Gambia,
Yemen,
Iraq,17
Kuwait,
Cambodia,
Georgia,
Oman,
Libya,
Hungary,15
Egypt,14
Latvia,
Saudi Arabia,13
Estonia,
South Korea,12
Afghanistan,
Slovenia,
Bangladesh,11
Cameroon,
Croatia,
Israel,11
Thailand,10
Sweden,10
Luxembourg,
Armenia,
Bulgaria,
Switzerland,9
Lithuania,
Serbia,
Norway,
Laos,
Romania,9
Taiwan,8
Greece,8
Denmark,
Portugal,8
Montenegro,
Netherlands,8
Bosnia & Herzegovina,
Tunisia,
Czechia,
Belgium,7
Morocco,
Austria,
Kyrgyzstan,
Poland,6
Vietnam,5
Azerbaijan,
Costa Rica,
Moldova,
Madagascar,
Italy,4
Uzbekistan,
Spain,4
Germany,4
Dominican Republic,
Panama,
Mexico,4
Syria,
Algeria,
Türkiye,3
Uruguay,
Chile,
Nicaragua,
Ecuador,
Honduras,
Senegal,
Iran,3
France,3
Colombia,
Paraguay,
Kazakhstan,
Peru,
Japan,2
Brazil,2
Bolivia,
Côte d’Ivoire,
Argentina,
Guatemala,
Belarus,
El Salvador,
Russia,2
Ukraine,
Venezuela,
Congo - Kinshasa,
Burkina Faso,
New Caledonia,
Aruba,
Nauru,
Bermuda,
Norfolk Island,
Niger,
Mayotte,
Pitcairn Islands,
Central African Republic,
St. Barthélemy,
Palau,
Cocos (Keeling) Islands,
Martinique,
Montserrat,
North Korea,
Mauritania,
Mozambique,
Mali,
French Polynesia,
Marshall Islands,
Réunion,
Monaco,
St. Martin,
Congo - Brazzaville,
Cook Islands,
Liechtenstein,
Comoros,
Caribbean Netherlands,
South Georgia & South Sandwich Islands,
Benin,
Svalbard & Jan Mayen,
Cape Verde,
St. Kitts & Nevis,
Kiribati,
San Marino,
Burundi,
St. Pierre & Miquelon,
Cuba,
Curaçao,
São Tomé & Príncipe,
Suriname,
Christmas Island,
British Indian Ocean Territory,
Haiti,
Heard & McDonald Islands,
Sint Maarten,
French Southern Territories,
Djibouti,
Turks & Caicos Islands,
Chad,
Togo,
French Guiana,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Antarctica,
Greenland,
Equatorial Guinea,
Tuvalu,
Guinea-Bissau,
American Samoa,
Guadeloupe,
Guinea,
U.S. Outlying Islands,
Gibraltar,
Gabon,
Micronesia,
Vatican City,
Faroe Islands,
Falkland Islands (Islas Malvinas),
British Virgin Islands,
Andorra,
Eritrea,
Vanuatu,
Wallis & Futuna,
Åland Islands,
Anguilla,
Western Sahara,
Angola,
Bouvet Island,
Niue,
