Category: All categories

Country,lung cancer: (12/18/24 - 12/18/25)
China,100
United States,71
United Kingdom,61
Isle of Man,
Gibraltar,
St. Vincent & Grenadines,
Australia,54
Ireland,53
Papua New Guinea,
Bermuda,
Canada,45
Jersey,
St. Helena,44
Antigua & Barbuda,
U.S. Virgin Islands,
Singapore,41
Trinidad & Tobago,
New Zealand,38
Barbados,
Guam,
Malta,
Cayman Islands,
Philippines,33
Guernsey,
Bahamas,
Grenada,
Jamaica,
Guyana,
Belize,
Lebanon,
Hong Kong,27
Bhutan,
Botswana,
Maldives,
Namibia,
South Sudan,
Kenya,22
Ethiopia,
Mauritius,
Iceland,
Brunei,
South Africa,21
Zambia,
Zimbabwe,
Macao,
Malaysia,17
North Macedonia,
Cyprus,
Nepal,
South Korea,17
Mongolia,
India,16
Puerto Rico,
Lesotho,
Ghana,
Uganda,
Fiji,
Albania,
Qatar,
Myanmar (Burma),
United Arab Emirates,14
Pakistan,13
Malawi,
Sri Lanka,
Kosovo,
Jordan,
Somalia,
Palestine,
Bahrain,
Taiwan,12
Slovenia,
Nigeria,12
Lithuania,
Georgia,
Greece,11
Sierra Leone,
Tanzania,
Sudan,
Kuwait,
Estonia,
Oman,
Luxembourg,
Portugal,9
Latvia,
Iraq,
Libya,
Israel,9
Bangladesh,9
Bulgaria,
Rwanda,
Thailand,8
Serbia,
Switzerland,8
Cambodia,
Montenegro,
Sweden,8
Croatia,
Armenia,
Egypt,7
Romania,7
Netherlands,7
Norway,
Denmark,
Saudi Arabia,7
Bosnia & Herzegovina,
Finland,
Tunisia,
Laos,
Vietnam,6
Belgium,6
Hungary,
Azerbaijan,
Spain,5
Kyrgyzstan,
Yemen,
Italy,5
Slovakia,
Morocco,
Cameroon,
Austria,
Costa Rica,
Czechia,
Uzbekistan,
Dominican Republic,
Panama,
Türkiye,3
Madagascar,
Afghanistan,
Indonesia,3
Algeria,
Germany,3
St. Kitts & Nevis,
Moldova,
Kazakhstan,
Senegal,
Poland,3
Ecuador,
France,3
Mexico,3
Uruguay,
Chile,
Japan,2
Syria,
Colombia,
Cuba,
Paraguay,
Brazil,2
Peru,
Angola,
Russia,2
Côte d’Ivoire,
Argentina,
Iran,1
El Salvador,
Honduras,
Venezuela,
Ukraine,
Bolivia,
Nicaragua,
Guatemala,
Belarus,
Eswatini,
Burkina Faso,
British Indian Ocean Territory,
Aruba,
Niue,
Christmas Island,
Curaçao,
Niger,
Nauru,
New Caledonia,
Cape Verde,
Comoros,
Mayotte,
Pitcairn Islands,
Djibouti,
Dominica,
Palau,
Martinique,
Montserrat,
Congo - Brazzaville,
North Korea,
Congo - Kinshasa,
Mauritania,
Mozambique,
French Polynesia,
Northern Mariana Islands,
Réunion,
Eritrea,
Western Sahara,
Cocos (Keeling) Islands,
Central African Republic,
Bouvet Island,
Mali,
Marshall Islands,
South Georgia & South Sandwich Islands,
Falkland Islands (Islas Malvinas),
Svalbard & Jan Mayen,
Solomon Islands,
Monaco,
St. Martin,
San Marino,
St. Barthélemy,
St. Pierre & Miquelon,
Faroe Islands,
Caribbean Netherlands,
São Tomé & Príncipe,
Suriname,
Micronesia,
Benin,
Gabon,
Guinea,
Sint Maarten,
Seychelles,
Guadeloupe,
Turks & Caicos Islands,
Chad,
Togo,
Burundi,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Liechtenstein,
St. Lucia,
Gambia,
Tuvalu,
French Southern Territories,
Antarctica,
American Samoa,
Guinea-Bissau,
U.S. Outlying Islands,
Equatorial Guinea,
Greenland,
Kiribati,
Vatican City,
Andorra,
French Guiana,
British Virgin Islands,
Åland Islands,
Heard & McDonald Islands,
Vanuatu,
Wallis & Futuna,
Samoa,
Anguilla,
Haiti,
Liberia,
Cook Islands,
Norfolk Island,
