Category: All categories

Country,pancreatic cancer: (12/18/24 - 12/18/25)
Antigua & Barbuda,
Gibraltar,
United Kingdom,100
Jersey,
Isle of Man,
Barbados,
United States,92
Bahamas,
St. Lucia,
Ireland,77
China,75
Guernsey,
Australia,73
Trinidad & Tobago,
Malta,
St. Helena,64
Canada,62
Jamaica,
Singapore,59
New Zealand,57
Guyana,
Iceland,
Mauritius,
Philippines,26
Belize,
Cyprus,
South Africa,24
Kenya,24
Kosovo,
Zimbabwe,
Puerto Rico,
Lebanon,
Hong Kong,21
Albania,
Brunei,
Zambia,
South Korea,18
Namibia,
Malaysia,18
Qatar,
Botswana,
Ethiopia,
United Arab Emirates,15
Norway,15
Mongolia,
North Macedonia,
Nigeria,15
Ghana,
Sri Lanka,
Nepal,
Luxembourg,
Bahrain,
Papua New Guinea,
Sweden,13
Israel,12
Denmark,12
India,12
Romania,12
Somalia,
Pakistan,12
Finland,12
Latvia,
Slovenia,
Lithuania,
Portugal,10
Greece,10
Switzerland,10
Taiwan,10
Malawi,
Jordan,
Oman,
Netherlands,9
Croatia,
Armenia,
Tanzania,
Kuwait,
Uganda,
Palestine,
Bulgaria,
Estonia,
Georgia,
Slovakia,
Bosnia & Herzegovina,
Senegal,
Hungary,
Belgium,7
Saudi Arabia,7
Egypt,6
Serbia,
Iraq,
Cambodia,
Myanmar (Burma),
Austria,
Azerbaijan,
Panama,
Czechia,
Germany,5
Laos,
Costa Rica,
Bangladesh,
Libya,
Kyrgyzstan,
Grenada,
Thailand,4
Spain,4
Poland,4
Yemen,
Italy,4
Guam,
Dominican Republic,
Morocco,
Moldova,
Vietnam,3
Uzbekistan,
Ecuador,
France,3
Côte d’Ivoire,
Japan,2
Uruguay,
Tunisia,
Mexico,2
Algeria,
Honduras,
Türkiye,2
El Salvador,
Syria,
Brazil,1
Chile,
Colombia,
Peru,
Indonesia,1
Russia,1
Argentina,
Iran,
Ukraine,
Bolivia,
Guatemala,
Kazakhstan,
Venezuela,
Belarus,
Rwanda,
Paraguay,
Pitcairn Islands,
Aruba,
Maldives,
Mali,
Dominica,
Djibouti,
Montenegro,
Cayman Islands,
Northern Mariana Islands,
Mozambique,
Mauritania,
Montserrat,
Martinique,
Christmas Island,
Curaçao,
Cuba,
Mayotte,
Madagascar,
New Caledonia,
Niger,
Norfolk Island,
Cape Verde,
Nicaragua,
Niue,
Comoros,
Monaco,
Cook Islands,
Nauru,
Congo - Brazzaville,
Congo - Kinshasa,
Cameroon,
Heard & McDonald Islands,
St. Martin,
Haiti,
Macao,
Palau,
Cocos (Keeling) Islands,
Eritrea,
Central African Republic,
North Korea,
Bouvet Island,
Lesotho,
Bhutan,
French Polynesia,
Western Sahara,
Réunion,
Liechtenstein,
Angola,
Fiji,
Bermuda,
Sudan,
Falkland Islands (Islas Malvinas),
St. Barthélemy,
South Georgia & South Sandwich Islands,
Faroe Islands,
Svalbard & Jan Mayen,
Solomon Islands,
Sierra Leone,
St. Kitts & Nevis,
San Marino,
Burkina Faso,
St. Pierre & Miquelon,
Caribbean Netherlands,
South Sudan,
São Tomé & Príncipe,
Suriname,
Benin,
Burundi,
French Southern Territories,
Eswatini,
Sint Maarten,
Seychelles,
Kiribati,
Turks & Caicos Islands,
Chad,
Togo,
Micronesia,
Tajikistan,
Tokelau,
Turkmenistan,
Timor-Leste,
Tonga,
Antarctica,
Gabon,
Guinea,
Tuvalu,
American Samoa,
Guadeloupe,
Andorra,
Gambia,
U.S. Outlying Islands,
Guinea-Bissau,
Åland Islands,
Equatorial Guinea,
Vatican City,
St. Vincent & Grenadines,
Greenland,
British Virgin Islands,
U.S. Virgin Islands,
British Indian Ocean Territory,
Vanuatu,
Wallis & Futuna,
Samoa,
Anguilla,
French Guiana,
Liberia,
Afghanistan,
Marshall Islands,
