Maladie,Sponsor,Statut,Titre,URL
Lung Cancer,Information provided by AstraZeneca (Responsible Party),Active,Study Details | NCT05817110 | Validating Artificial Intelligence Effectiveness Defined Lung Nodule Malignancy Score in Patients With Pulmonary Nodule. | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT05817110?cond=Lung%20Cancer&viewType=Card&page=1&rank=1
Lung Cancer,"Information provided by University Health Network, Toronto",Terminated,Study Details | NCT00188656 | Computed Tomography (CT) in Head and Neck Patients | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT00188656?cond=Lung%20Cancer&viewType=Card&page=1&rank=2
Lung Cancer,"Information provided by Tingting Li, Shanghai Chest Hospital (Responsible Party)",Recruiting,Study Details | NCT07117539 | Impact of Different Lung Isolation Devices on Pharyngolaryngeal Injuries After Pulmonary Resection | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT07117539?cond=Lung%20Cancer&viewType=Card&page=1&rank=3
Lung Cancer,"Information provided by Fatma Alzahraa, Ain Shams University (Responsible Party)",Completed,Study Details | NCT06479798 | Accuracy of Convex Probe EBUS-TBNA Versus FDG,https://clinicaltrials.gov/study/NCT06479798?cond=Lung%20Cancer&viewType=Card&page=1&rank=4
Lung Cancer,Information provided by City of Hope Medical Center (Responsible Party),Completed,Study Details | NCT02345798 | Video,https://clinicaltrials.gov/study/NCT02345798?cond=Lung%20Cancer&viewType=Card&page=1&rank=5
Lung Cancer,"Information provided by Oncology Specialties, Alabama",Terminated,Study Details | NCT00232128 | Protocol for Radiofrequency Ablation of Pulmonary Neoplasms | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT00232128?cond=Lung%20Cancer&viewType=Card&page=1&rank=6
Lung Cancer,Information provided by University Hospitals Bristol and Weston NHS Foundation Trust (Responsible Party),Completed,Study Details | NCT01621698 | Study of Use of Paravertebral Blocks for Pain Relief in Video Assisted Lung Surgery | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT01621698?cond=Lung%20Cancer&viewType=Card&page=1&rank=7
Lung Cancer,Information provided by University Hospital Southampton NHS Foundation Trust (Responsible Party),Recruiting,Study Details | NCT02013063 | Single Pulmonary Nodule Investigation | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT02013063?cond=Lung%20Cancer&viewType=Card&page=1&rank=8
Lung Cancer,Information provided by Universitaire Ziekenhuizen KU Leuven (Responsible Party),Completed,Study Details | NCT01451359 | Endobronchial Valves in Persistent Air Leak | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT01451359?cond=Lung%20Cancer&viewType=Card&page=1&rank=9
Lung Cancer,"Information provided by Hecheng Li M.D., Ph.D, Ruijin Hospital (Responsible Party)",Recruiting,Study Details | NCT03010033 | Effect of Pulmonary Rehabilitation on Perioperative Outcomes in Smoker Patients With Lung Cancer | ClinicalTrials.gov,https://clinicaltrials.gov/study/NCT03010033?cond=Lung%20Cancer&viewType=Card&page=1&rank=10
