Cancer,Trial_ID,Title,Sponsor,Status,URL
Lung Cancer,NCT05817110,Validating Artificial Intelligence Effectiveness Defined Lung Nodule Malignancy Score in Patients With Pulmonary Nodule.,Information provided by AstraZeneca (Responsible Party),Active,https://clinicaltrials.gov/study/NCT05817110?cond=Lung%20Cancer&viewType=Card&page=1&rank=1
Lung Cancer,NCT00188656,Computed Tomography (CT) in Head and Neck Patients,"Information provided by University Health Network, Toronto",Terminated,https://clinicaltrials.gov/study/NCT00188656?cond=Lung%20Cancer&viewType=Card&page=1&rank=2
Lung Cancer,NCT07117539,Impact of Different Lung Isolation Devices on Pharyngolaryngeal Injuries After Pulmonary Resection,"Information provided by Tingting Li, Shanghai Chest Hospital (Responsible Party)",Recruiting,https://clinicaltrials.gov/study/NCT07117539?cond=Lung%20Cancer&viewType=Card&page=1&rank=3
Lung Cancer,NCT06479798,Accuracy of Convex Probe EBUS-TBNA Versus FDG,"Information provided by Fatma Alzahraa, Ain Shams University (Responsible Party)",Completed,https://clinicaltrials.gov/study/NCT06479798?cond=Lung%20Cancer&viewType=Card&page=1&rank=4
Lung Cancer,NCT02345798,Video,Information provided by City of Hope Medical Center (Responsible Party),Completed,https://clinicaltrials.gov/study/NCT02345798?cond=Lung%20Cancer&viewType=Card&page=1&rank=5
Lung Cancer,NCT00232128,Protocol for Radiofrequency Ablation of Pulmonary Neoplasms,"Information provided by Oncology Specialties, Alabama",Terminated,https://clinicaltrials.gov/study/NCT00232128?cond=Lung%20Cancer&viewType=Card&page=1&rank=6
Lung Cancer,NCT01621698,Study of Use of Paravertebral Blocks for Pain Relief in Video Assisted Lung Surgery,Information provided by University Hospitals Bristol and Weston NHS Foundation Trust (Responsible Party),Completed,https://clinicaltrials.gov/study/NCT01621698?cond=Lung%20Cancer&viewType=Card&page=1&rank=7
Lung Cancer,NCT02013063,Single Pulmonary Nodule Investigation,Information provided by University Hospital Southampton NHS Foundation Trust (Responsible Party),Recruiting,https://clinicaltrials.gov/study/NCT02013063?cond=Lung%20Cancer&viewType=Card&page=1&rank=8
Lung Cancer,NCT01451359,Endobronchial Valves in Persistent Air Leak,Information provided by Universitaire Ziekenhuizen KU Leuven (Responsible Party),Completed,https://clinicaltrials.gov/study/NCT01451359?cond=Lung%20Cancer&viewType=Card&page=1&rank=9
Lung Cancer,NCT03010033,Effect of Pulmonary Rehabilitation on Perioperative Outcomes in Smoker Patients With Lung Cancer,"Information provided by Hecheng Li M.D., Ph.D, Ruijin Hospital (Responsible Party)",Recruiting,https://clinicaltrials.gov/study/NCT03010033?cond=Lung%20Cancer&viewType=Card&page=1&rank=10
Lung Cancer,NCT03134534,Robot,"Information provided by Hecheng Li M.D., Ph.D, Ruijin Hospital (Responsible Party)",Completed,https://clinicaltrials.gov/study/NCT03134534?cond=Lung%20Cancer&viewType=Card&page=2&rank=11
Lung Cancer,NCT04889989,Microwave Ablation in Chinese Patients With Lung Tumors,"Information provided by Ethicon, Inc. (Responsible Party)",Completed,https://clinicaltrials.gov/study/NCT04889989?cond=Lung%20Cancer&viewType=Card&page=2&rank=12&tab=results
Lung Cancer,NCT05118347,"Effects of Buteyko Breathing Technique Versus Incentive Spirometer on Breath Holding Time, Cardiopulmonary Endurance and Quality of Life in Patients With Post Lung Tumor Resection","Information provided by Shahbaz Ahmad, University of Lahore (Responsible Party)",Recruiting,https://clinicaltrials.gov/study/NCT05118347?cond=Lung%20Cancer&viewType=Card&page=2&rank=13
Lung Cancer,NCT03881410,The Efficacy of Shear-wave Elastography,Information provided by National Taiwan University Hospital (Responsible Party),Completed,https://clinicaltrials.gov/study/NCT03881410?cond=Lung%20Cancer&viewType=Card&page=2&rank=14
Lung Cancer,NCT00128037,Trial of Pre,Information provided by Japan Clinical Oncology Group,Completed,https://clinicaltrials.gov/study/NCT00128037?cond=Lung%20Cancer&viewType=Card&page=2&rank=15
Lung Cancer,NCT02430597,Irreversible Electroporation(IRE) For Unresectable Hilus Pulmonis Neoplasms,"Information provided by Fuda Cancer Hospital, Guangzhou (Responsible Party)",Completed,https://clinicaltrials.gov/study/NCT02430597?cond=Lung%20Cancer&viewType=Card&page=2&rank=16
Lung Cancer,NCT02853188,Measure of Plasma Tissue Factor to Predict a Venous Thromboembolism in Primitive Cancer of Lung,Information provided by Hopital Foch (Responsible Party),Completed,https://clinicaltrials.gov/study/NCT02853188?cond=Lung%20Cancer&viewType=Card&page=2&rank=17
Lung Cancer,NCT06934499,Tunisian Lung Cancer Study,Information provided by Dacima Consulting (Responsible Party),Recruiting,https://clinicaltrials.gov/study/NCT06934499?cond=Lung%20Cancer&viewType=Card&page=2&rank=18
Lung Cancer,NCT06531850,Prospective Study of Serum Marker LncRNA RP5,Information provided by Affiliated Cancer Hospital & Institute of Guangzhou Medical University (Responsible Party),Recruiting,https://clinicaltrials.gov/study/NCT06531850?cond=Lung%20Cancer&viewType=Card&page=2&rank=19
Lung Cancer,NCT06322329,RealMove (Lung): Assessing Tumour Motion With Dynamic MRI,Information provided by Region Stockholm (Responsible Party),Recruiting,https://clinicaltrials.gov/study/NCT06322329?cond=Lung%20Cancer&viewType=Card&page=2&rank=20
Lung Cancer,NCT01734980,Endobronchial Ultrasound Transbronchial Needle Aspiration Using Needle Suction Versus No Suction,"Information provided by Michel Chalhoub, Northwell Health (Responsible Party)",Completed,https://clinicaltrials.gov/study/NCT01734980?cond=Lung%20Cancer&viewType=Card&page=3&rank=21
